Year,Month,Bank,State,City,Effective_Days,ATM_Type,ATM_ID,Quarter,Fin_Txn,Non_Fin_Txn,Monthly_Txn,Monthly_Revenue,MHA_Revenue,ATM_Revenue_Total,Rent,Electricity_Bill,ATM_AMC,UPS_AMC,VSAT_AMC,Spare_Rep_SLM,Spare_Rep_AC,Spare_Rep_UPS,Compensation,Penalty,ATM_Housekeeping,Security,Insurance,Total_Cost,Gross_Profit,Gross_Profit_Percent,Txn_Range_Current,Txn_Range_Previous,Txn_Range_Previous_2,Margin_Status,Revenue_Performance,Uptime,Profit_Category
2023,Jan,SBI,Jharkhand,Ranchi,27,Brown Label,SBIJR177142,Q1,1702,581.68,2283.68,28438.39,5687.68,34126.07,13253,4567.36,5360,1495,1721,2489,1572,1465,1499,1370,2833,2155,1370,41149.36,75275.42,220.58,Medium,High,Medium,Below 0%,Poor,93.35,Loss
2023,Nov,SBI,Jharkhand,Ranchi,28,Onsite,SBIJR024732,Q4,2975,1002.22,3977.22,49636.12,9927.22,59563.34,16953,7954.45,4077,1908,2491,2379,1604,1288,1493,1473,2692,4288,1120,49720.45,109283.79,183.47,Medium,Medium,Low,Above 0%,Poor,95.79,Low Profit
2024,Apr,SBI,Jharkhand,Bokaro,28,Offsite,SBIJB189078,Q2,2601,1129.23,3730.23,44661.16,8932.23,53593.39,12271,7460.46,4862,1070,1949,2628,1676,680,1870,1293,2813,2736,1119,42427.46,96020.86,179.17,Medium,Medium,High,Above 0%,Poor,98.84,High Profit
2023,Jan,SBI,Jharkhand,Ranchi,29,Brown Label,SBIJR042193,Q1,3241,1828.02,5069.02,57755.1,11551.02,69306.12,13713,10138.04,4395,1926,2078,927,1065,266,1613,1209,1823,2950,606,42709.04,112015.16,161.62,High,Low,Medium,Above 0%,Poor,95.08,High Profit
2023,Jan,SBI,Jharkhand,Jamshedpur,29,Onsite,SBIJJ107983,Q1,2360,881.44,3241.44,39807.21,7961.44,47768.66,26077,6482.89,5302,2740,2993,629,412,497,1223,1080,1486,2181,747,51849.89,99618.54,208.54,Medium,Low,High,Below 0%,Poor,97.98,Loss
2024,Apr,SBI,Jharkhand,Jamshedpur,30,Brown Label,SBIJJ221952,Q2,862,568.55,1430.55,15772.76,3154.55,18927.32,20968,2861.11,4664,1586,1774,2806,1264,1431,1760,1295,1458,4413,1035,47315.11,66242.42,349.98,Low,High,Low,Below 0%,Poor,94.94,Loss
2024,Jun,SBI,Jharkhand,Bokaro,27,Brown Label,SBIJB054700,Q2,622,250.53,872.53,10582.67,2116.53,12699.2,18159,1745.07,5851,1575,1404,1702,290,306,1262,1104,2452,4401,822,41073.07,53772.27,423.43,Low,High,Medium,Below 0%,Poor,93.25,Loss
2023,Aug,SBI,Jharkhand,Ranchi,25,Offsite,SBIJR296839,Q3,4320,1570.24,5890.24,72651.21,14530.24,87181.45,24387,11780.48,3014,2731,1595,2998,1642,1256,1073,1398,1852,3486,1377,58589.48,145770.93,167.2,High,High,Low,Above 0%,Poor,92.2,High Profit
2024,May,SBI,Jharkhand,Jamshedpur,29,Offsite,SBIJJ178756,Q2,850,500.37,1350.37,15251.86,3050.37,18302.23,13708,2700.74,5199,2518,1637,1531,1470,202,1774,1393,2114,4332,584,39162.74,57464.97,313.98,Low,High,Medium,Below 0%,Poor,99.41,Loss
2023,Apr,SBI,Jharkhand,Ranchi,30,Onsite,SBIJR074721,Q2,537,198.98,735.98,9049.92,1809.98,10859.91,14200,1471.97,5295,1798,2651,1277,1075,1374,1309,1165,2059,4178,1432,39284.97,50144.88,461.74,Low,High,High,Below 0%,Poor,90.58,Loss
2024,May,SBI,Jharkhand,Ranchi,28,Offsite,SBIJR306615,Q2,1484,601.4,2085.4,25266.98,5053.4,30320.38,29020,4170.79,6745,2244,1470,2422,438,703,1578,1435,2655,2464,874,56218.79,86539.17,285.42,Medium,Medium,Low,Below 0%,Poor,90.76,Loss
2023,Nov,SBI,Jharkhand,Jamshedpur,28,Onsite,SBIJJ300335,Q4,1415,754.66,2169.66,24998.28,4999.66,29997.93,28578,4339.31,4087,2130,2614,927,795,1078,1583,1148,1842,3079,1237,53437.31,83435.24,278.14,Medium,Medium,Low,Below 0%,Poor,96.8,Loss
2024,Feb,SBI,Jharkhand,Hazaribagh,28,Brown Label,SBIJH038048,Q1,5154,3593.68,8747.68,95278.38,19055.68,114334.06,20597,17495.35,6403,2025,1871,2794,1976,596,1541,1074,1164,3232,506,61274.35,175608.42,153.59,High,Low,Medium,Above 0%,Poor,99.0,High Profit
2024,Jul,SBI,Jharkhand,Bokaro,28,Offsite,SBIJB012629,Q3,901,614.66,1515.66,16588.31,3317.66,19905.97,20092,3031.32,3498,1146,1181,2006,989,1272,1712,1184,2056,4704,1204,44075.32,63981.29,321.42,Low,High,High,Below 0%,Poor,92.33,Loss
2023,Mar,SBI,Jharkhand,Deoghar,28,Offsite,SBIJD309826,Q1,4280,2339.83,6619.83,75899.15,15179.83,91078.99,12546,13239.66,6860,2486,2074,1653,1515,693,1199,1267,2155,2982,1128,49797.66,140876.65,154.68,High,Medium,Medium,Above 0%,Poor,91.15,High Profit
2024,Jul,SBI,Jharkhand,Deoghar,29,Brown Label,SBIJD274694,Q3,1136,767.09,1903.09,20875.46,4175.09,25050.56,28463,3806.19,3706,1998,2010,1319,736,417,1245,1016,1390,4183,997,51286.19,76336.74,304.73,Low,High,High,Below 0%,Poor,98.91,Loss
2023,Sep,SBI,Jharkhand,Bokaro,26,Onsite,SBIJB050971,Q3,2899,962.61,3861.61,48298.04,9659.61,57957.64,28821,7723.21,6569,2929,2541,1147,628,1479,1469,1327,2653,2207,1187,60680.21,118637.86,204.7,Medium,High,High,Below 0%,Poor,92.03,Loss
2024,Oct,SBI,Jharkhand,Jamshedpur,28,Brown Label,SBIJJ025281,Q4,5737,3070.65,8807.65,101408.23,20281.65,121689.88,13693,17615.29,6895,1044,1571,2689,575,1403,1214,1323,2118,3506,643,54289.29,175979.17,144.61,High,Medium,High,Above 0%,Good,98.08,High Profit
2023,Oct,SBI,Jharkhand,Bokaro,28,Brown Label,SBIJB037926,Q4,3380,1983.62,5363.62,60618.08,12123.62,72741.69,21967,10727.23,3684,2196,1159,1652,1021,910,1435,1081,2382,2320,1127,51661.23,124402.92,171.02,High,Low,High,Above 0%,Poor,92.66,High Profit
2023,Mar,SBI,Jharkhand,Jamshedpur,26,Offsite,SBIJJ041124,Q1,895,441.73,1336.73,15633.67,3126.73,18760.41,27102,2673.47,3991,2427,1911,1762,1058,1000,1502,1486,2802,4948,1154,53816.47,72576.88,386.86,Low,High,Medium,Below 0%,Poor,93.38,Loss
2024,Oct,SBI,Jharkhand,Bokaro,26,Offsite,SBIJB051815,Q4,2707,952.38,3659.38,45366.89,9073.38,54440.27,20164,7318.76,3760,2029,1627,952,443,676,1279,1225,1713,2459,867,44512.76,98953.03,181.76,Medium,Low,High,Above 0%,Poor,97.54,Low Profit
2024,Jun,SBI,Jharkhand,Deoghar,25,Onsite,SBIJD254388,Q2,2526,1617.22,4143.22,45976.09,9195.22,55171.3,25853,8286.43,4242,1459,2710,850,222,1376,1843,1091,2972,3601,1402,55907.43,111078.74,201.33,Medium,Medium,High,Below 0%,Poor,99.81,Loss
2023,Apr,SBI,Jharkhand,Jamshedpur,29,Offsite,SBIJJ187403,Q2,2098,939.86,3037.86,36169.3,7233.86,43403.15,16793,6075.72,4631,2610,1891,600,1102,1084,1096,1185,2974,2367,1015,43423.72,86826.87,200.05,Medium,Medium,Medium,Below 0%,Poor,96.49,Loss
2023,Apr,SBI,Jharkhand,Ranchi,29,Brown Label,SBIJR065412,Q2,3665,1964.68,5629.68,64798.39,12959.68,77758.07,12313,11259.36,4588,2047,1350,1859,1539,424,1374,1323,2080,3136,1191,44483.36,122241.43,157.21,High,High,Low,Above 0%,Poor,94.15,High Profit
2024,Dec,SBI,Jharkhand,Bokaro,25,Brown Label,SBIJB177270,Q4,3338,1021.66,4359.66,55178.32,11035.66,66213.98,26789,8719.33,4231,2659,2855,2316,874,567,1179,1259,1700,3653,941,57742.33,123956.31,187.21,Medium,Medium,Low,Above 0%,Poor,93.82,Low Profit
2023,Oct,SBI,Jharkhand,Deoghar,25,Brown Label,SBIJD107860,Q4,1533,887.25,2420.25,27431.27,5486.25,32917.52,19992,4840.51,5838,1144,1672,2750,1960,904,1670,1460,1187,2172,638,46227.51,79145.03,240.43,Medium,Medium,Low,Below 0%,Poor,93.67,Loss
2023,Jun,SBI,Jharkhand,Deoghar,27,Offsite,SBIJD157069,Q2,3435,1133.96,4568.96,57194.78,11438.96,68633.73,29242,9137.91,3760,2427,2788,663,1941,1363,1282,1393,2972,2017,527,59512.91,128146.64,186.71,Medium,High,High,Above 0%,Poor,99.19,Low Profit
2023,Nov,SBI,Jharkhand,Deoghar,29,Brown Label,SBIJD188038,Q4,1617,838.35,2455.35,28446.74,5689.35,34136.09,17929,4910.7,4127,2429,1975,2608,883,1205,1512,1051,2385,3607,1060,45681.7,79817.79,233.82,Medium,Low,Low,Below 0%,Poor,92.08,Loss
2024,Jul,SBI,Jharkhand,Jamshedpur,25,Onsite,SBIJJ152295,Q3,1276,484.93,1760.93,21564.63,4312.93,25877.56,24706,3521.85,3792,1254,1304,2681,1908,1239,1191,1098,1706,2704,788,47892.85,73770.41,285.07,Low,Low,Low,Below 0%,Poor,99.52,Loss
2024,Dec,SBI,Jharkhand,Deoghar,26,Onsite,SBIJD199660,Q4,925,463.89,1388.89,16194.44,3238.89,19433.32,24348,2777.77,3386,2105,2778,2185,730,577,1126,1120,2833,3420,650,48035.77,67469.1,347.18,Low,Low,Low,Below 0%,Poor,91.93,Loss
2023,Jan,SBI,Jharkhand,Ranchi,25,Offsite,SBIJR067838,Q1,3310,1866.2,5176.2,58981.01,11796.2,70777.21,29816,10352.4,4527,2007,2805,2034,701,619,1465,1032,1040,3438,1460,61296.4,132073.61,186.6,High,High,Low,Above 0%,Poor,98.4,Low Profit
2024,Mar,SBI,Jharkhand,Hazaribagh,26,Offsite,SBIJH034641,Q1,869,273.97,1142.97,14404.87,2880.97,17285.85,23533,2285.95,5430,2228,2864,1605,1376,1261,1711,1133,2698,3478,930,50532.95,67818.79,392.34,Low,High,Low,Below 0%,Poor,98.2,Loss
2023,Jul,SBI,Jharkhand,Dhanbad,30,Offsite,SBIJD294161,Q3,1375,954.22,2329.22,25396.09,5079.22,30475.31,20992,4658.44,6311,1201,2073,2689,1619,1137,1592,1065,2693,4016,562,50608.44,81083.75,266.06,Medium,High,High,Below 0%,Poor,96.74,Loss
2024,Aug,SBI,Jharkhand,Hazaribagh,28,Onsite,SBIJH256691,Q3,4702,2673.17,7375.17,83895.83,16779.17,100674.99,15067,14750.33,5984,2934,1858,983,1812,1205,1574,1287,2419,2333,1181,53387.33,154062.33,153.03,High,Low,Medium,Above 0%,Poor,91.81,High Profit
2024,Apr,SBI,Jharkhand,Jamshedpur,30,Offsite,SBIJJ114455,Q2,593,407.6,1000.6,10933.02,2186.6,13119.62,22826,2001.21,6556,1120,2481,1412,1787,205,1587,1492,2259,2882,919,47527.21,60646.82,462.26,Low,Medium,High,Below 0%,Poor,94.81,Loss
2024,Feb,SBI,Jharkhand,Jamshedpur,30,Onsite,SBIJJ217829,Q1,1851,1207.83,3058.83,33804.15,6760.83,40564.98,27147,6117.66,4596,2799,1496,518,1719,405,1006,1395,2201,4696,952,55047.66,95612.64,235.7,Medium,High,Low,Below 0%,Poor,91.62,Loss
2024,Jul,SBI,Jharkhand,Bokaro,25,Onsite,SBIJB031596,Q3,546,310.92,856.92,9744.61,1948.92,11693.53,14919,1713.84,6073,2514,2146,1199,579,898,1827,1323,2718,3883,1336,41128.84,52822.37,451.72,Low,High,High,Below 0%,Poor,96.45,Loss
2023,Feb,SBI,Jharkhand,Hazaribagh,26,Brown Label,SBIJH026053,Q1,1659,1100.12,2759.12,30385.61,6077.12,36462.73,27528,5518.24,3487,2020,2027,1556,1461,1036,1330,1339,1165,3113,746,52326.24,88788.97,243.51,Medium,Low,High,Below 0%,Poor,99.27,Loss
2024,Feb,SBI,Jharkhand,Hazaribagh,26,Onsite,SBIJH279504,Q1,1684,1037.63,2721.63,30448.13,6089.63,36537.76,25972,5443.25,5152,2349,2497,1519,823,940,1079,1287,2342,3720,1289,54412.25,90950.01,248.92,Medium,High,High,Below 0%,Poor,96.37,Loss
2023,Apr,SBI,Jharkhand,Dhanbad,28,Brown Label,SBIJD150814,Q2,3918,2431.96,6349.96,70929.82,14185.96,85115.79,14555,12699.93,4164,1075,1886,2792,1522,501,1755,1446,2458,4588,1028,50469.93,135585.71,159.3,High,Medium,Medium,Above 0%,Poor,99.94,High Profit
2024,Mar,SBI,Jharkhand,Deoghar,26,Brown Label,SBIJD112458,Q1,803,438.11,1241.11,14235.54,2847.11,17082.65,12285,2482.22,3896,2454,1654,2237,726,675,1474,1229,1896,4459,668,36135.22,53217.86,311.53,Low,Medium,Medium,Below 0%,Poor,98.68,Loss
2024,Sep,SBI,Jharkhand,Dhanbad,29,Offsite,SBIJD239866,Q3,1144,695.81,1839.81,20639.05,4127.81,24766.86,28281,3679.62,4289,2108,1672,2574,1569,1115,1636,1450,2200,2921,1282,54776.62,79543.48,321.17,Low,Medium,High,Below 0%,Poor,92.68,Loss
2024,Feb,SBI,Jharkhand,Jamshedpur,25,Offsite,SBIJJ055913,Q1,1107,677.85,1784.85,19994.25,3998.85,23993.1,24062,3569.7,6912,1773,2038,999,430,539,1726,1370,1359,2021,1130,47928.7,71921.8,299.76,Low,High,Low,Below 0%,Poor,97.26,Loss
2023,Nov,SBI,Jharkhand,Deoghar,26,Brown Label,SBIJD265746,Q4,1357,807.6,2164.6,24392.98,4878.6,29271.57,22854,4329.19,5518,1852,2406,1649,918,1303,1673,1272,2478,3094,738,50084.19,79355.76,271.1,Medium,Medium,High,Below 0%,Poor,96.45,Loss
2023,Dec,SBI,Jharkhand,Bokaro,25,Offsite,SBIJB090954,Q4,2828,1014.94,3842.94,47494.71,9498.94,56993.65,29905,7685.88,5151,1627,2232,2280,1795,735,1947,1285,2594,4140,1375,62751.88,119745.53,210.1,Medium,High,High,Below 0%,Poor,97.42,Loss
2023,Aug,SBI,Jharkhand,Bokaro,27,Offsite,SBIJB063201,Q3,5029,2473.97,7502.97,87804.86,17560.97,105365.83,23397,15005.94,4152,2134,1429,1408,1426,340,1210,1258,2067,4815,683,59324.94,164690.78,156.3,High,Low,High,Above 0%,Poor,93.96,High Profit
2023,Aug,SBI,Jharkhand,Ranchi,26,Onsite,SBIJR054142,Q3,3635,1156.58,4791.58,60307.9,12061.58,72369.48,17633,9583.16,6288,1739,1122,2883,1887,1072,1777,1362,1340,2401,1336,50423.16,122792.64,169.67,Medium,High,Low,Above 0%,Poor,92.5,High Profit
2024,Jan,SBI,Jharkhand,Ranchi,26,Onsite,SBIJR225020,Q1,3745,1406.58,5151.58,63207.89,12641.58,75849.46,26589,10303.15,3167,1703,2361,2969,637,1407,1310,1276,2902,4044,644,59312.15,135161.62,178.2,High,Low,Medium,Above 0%,Poor,94.82,High Profit
2024,Jul,SBI,Jharkhand,Dhanbad,25,Offsite,SBIJD206193,Q3,3695,2425.59,6120.59,67552.93,13510.59,81063.52,18072,12241.17,6914,1855,2496,2622,1087,265,1692,1131,2178,2060,1451,54064.17,135127.69,166.69,High,Low,High,Above 0%,Poor,96.11,High Profit
2024,Aug,SBI,Jharkhand,Deoghar,27,Offsite,SBIJD173894,Q3,5277,3386.02,8663.02,96085.1,19217.02,115302.12,12868,17326.04,4115,2773,1383,2693,376,1455,1564,1129,2971,2816,1043,52512.04,167814.15,145.54,High,Low,High,Above 0%,Poor,95.32,High Profit
2024,Sep,SBI,Jharkhand,Jamshedpur,27,Onsite,SBIJJ225903,Q3,5024,1815.93,6839.93,84439.64,16887.93,101327.57,17354,13679.86,6979,2910,2889,2861,476,953,1011,1417,1214,4447,1197,57387.86,158715.43,156.64,High,Low,Low,Above 0%,Poor,91.42,High Profit
2023,Dec,SBI,Jharkhand,Bokaro,28,Offsite,SBIJB166561,Q4,5896,3732.09,9628.09,107100.45,21420.09,128520.54,27124,19256.18,5810,2353,2345,1173,1039,1103,1323,1458,1271,2313,984,67552.18,196072.72,152.56,High,Medium,High,Above 0%,Good,97.22,High Profit
2023,Nov,SBI,Jharkhand,Bokaro,27,Brown Label,SBIJB251790,Q4,2967,1616.13,4583.13,52585.63,10517.13,63102.75,21790,9166.25,3378,2454,2432,1890,1138,1359,1973,1143,1957,2788,542,52010.25,115113.0,182.42,Medium,Low,High,Above 0%,Poor,100.0,Low Profit
2023,Jan,SBI,Jharkhand,Deoghar,28,Brown Label,SBIJD270339,Q1,2197,738.03,2935.03,36645.16,7329.03,43974.19,22764,5870.06,4933,2195,1465,2031,753,900,1412,1329,1125,3139,657,48573.06,92547.25,210.46,Medium,Low,Low,Below 0%,Poor,98.46,Loss
2023,Dec,SBI,Jharkhand,Bokaro,27,Brown Label,SBIJB046338,Q4,5315,2760.97,8075.97,93529.85,18705.97,112235.82,19503,16151.94,6556,1752,2026,1671,1693,1111,1638,1235,2808,2741,1387,60272.94,172508.76,153.7,High,High,Medium,Above 0%,Poor,90.71,High Profit
2023,Aug,SBI,Jharkhand,Jamshedpur,29,Onsite,SBIJJ225056,Q3,728,242.2,970.2,12131.01,2426.2,14557.21,15176,1940.4,6330,2690,1645,1451,981,568,1487,1071,2464,3986,1390,41179.4,55736.61,382.88,Low,Low,High,Below 0%,Poor,97.62,Loss
2023,Aug,SBI,Jharkhand,Bokaro,27,Onsite,SBIJB105442,Q3,1560,1087.27,2647.27,28836.33,5767.27,34603.59,19079,5294.53,6489,2190,2786,2658,1132,1475,1438,1076,1084,3846,1279,49826.53,84430.12,243.99,Medium,High,Medium,Below 0%,Poor,93.32,Loss
2023,May,SBI,Jharkhand,Deoghar,30,Brown Label,SBIJD244431,Q2,4279,2453.52,6732.52,76452.62,15290.52,91743.14,26114,13465.05,6752,2429,2256,2180,1744,210,1591,1032,2060,4877,792,65502.05,157245.19,171.4,High,Low,High,Above 0%,Poor,97.0,High Profit
2024,May,SBI,Jharkhand,Dhanbad,25,Brown Label,SBIJD150629,Q2,2547,831.99,3378.99,42364.95,8472.99,50837.94,16286,6757.98,3989,2314,1485,813,436,882,1407,1350,1094,3517,1322,41652.98,92490.92,181.93,Medium,High,High,Above 0%,Poor,93.68,Low Profit
2024,Dec,SBI,Jharkhand,Hazaribagh,28,Onsite,SBIJH091673,Q4,1404,694.14,2098.14,24530.7,4906.14,29436.84,20899,4196.28,6911,1880,2948,2701,1579,462,1779,1218,1511,4883,1230,52197.28,81634.12,277.32,Medium,Medium,High,Below 0%,Poor,96.56,Loss
2024,Nov,SBI,Jharkhand,Jamshedpur,26,Onsite,SBIJJ099786,Q4,5291,3004.31,8295.31,94386.55,18877.31,113263.86,16343,16590.62,4824,1405,2007,2564,1069,584,1600,1340,2066,4702,532,55626.62,168890.48,149.11,High,High,High,Above 0%,Poor,96.42,High Profit
2023,Jun,SBI,Jharkhand,Ranchi,26,Brown Label,SBIJR011899,Q2,3608,1433.63,5041.63,61288.17,12257.63,73545.8,21775,10083.27,3736,2860,1307,2968,863,832,1566,1409,2147,2504,955,53005.27,126551.07,172.07,High,Medium,High,Above 0%,Poor,93.18,High Profit
2024,Jun,SBI,Jharkhand,Ranchi,27,Offsite,SBIJR260845,Q2,1873,1166.05,3039.05,33925.24,6785.05,40710.29,26331,6078.1,6638,2889,2199,2789,745,778,1880,1337,2643,2038,1165,57510.1,98220.39,241.27,Medium,High,Medium,Below 0%,Poor,99.47,Loss
2024,Aug,SBI,Jharkhand,Ranchi,29,Brown Label,SBIJR231579,Q3,1201,395.96,1596.96,19994.81,3998.96,23993.77,23177,3193.92,4796,1384,1470,2008,1083,418,1467,1200,2958,3237,1119,47510.92,71504.69,298.01,Low,Medium,High,Below 0%,Poor,99.87,Loss
2023,Sep,SBI,Jharkhand,Dhanbad,27,Offsite,SBIJD164340,Q3,1957,594.13,2551.13,32325.67,6465.13,38790.81,18743,5102.27,6726,2156,2423,2352,311,1079,1187,1327,1108,3579,1251,47344.27,86135.07,222.05,Medium,Low,High,Below 0%,Poor,97.83,Loss
2024,Dec,SBI,Jharkhand,Dhanbad,28,Brown Label,SBIJD274615,Q4,3414,1528.3,4942.3,58851.5,11770.3,70621.8,20604,9884.6,6406,1676,2794,2441,1825,462,1642,1364,2228,2879,924,55129.6,125751.4,178.06,Medium,High,Low,Above 0%,Poor,95.64,High Profit
2023,Sep,SBI,Jharkhand,Deoghar,28,Offsite,SBIJD036692,Q3,1465,640.21,2105.21,25176.07,5035.21,30211.29,28573,4210.43,6096,1438,1627,1087,776,1015,1503,1027,2368,4697,1447,55864.43,86075.71,284.91,Medium,High,High,Below 0%,Poor,98.19,Loss
2023,Nov,SBI,Jharkhand,Jamshedpur,26,Onsite,SBIJJ192006,Q4,534,170.35,704.35,8861.74,1772.35,10634.09,25262,1408.7,3533,2864,2826,2531,1994,497,1804,1273,1746,4635,726,51099.7,61733.79,580.53,Low,High,High,Below 0%,Poor,97.06,Loss
2023,Oct,SBI,Jharkhand,Ranchi,27,Onsite,SBIJR184894,Q4,1248,861.96,2109.96,23029.78,4605.96,27635.73,15818,4219.91,6385,2865,1457,1589,447,1375,1918,1011,2537,3651,975,44247.91,71883.64,260.11,Medium,Medium,Medium,Below 0%,Poor,93.91,Loss
2024,Jan,SBI,Jharkhand,Ranchi,26,Onsite,SBIJR012243,Q1,2878,1422.31,4300.31,50281.53,10056.31,60337.84,22819,8600.61,4253,2581,1720,1774,1054,310,1563,1317,2266,4822,705,53784.61,114122.45,189.14,Medium,Low,Low,Above 0%,Poor,98.35,Low Profit
2023,Sep,SBI,Jharkhand,Bokaro,27,Offsite,SBIJB135517,Q3,838,283.38,1121.38,13986.88,2797.38,16784.26,15736,2242.75,3019,1479,2622,2803,1294,577,1409,1045,2345,3167,788,38526.75,55311.01,329.54,Low,High,Low,Below 0%,Poor,92.69,Loss
2024,Dec,SBI,Jharkhand,Bokaro,29,Brown Label,SBIJB100309,Q4,3980,1384.82,5364.82,66624.09,13324.82,79948.91,15143,10729.64,5566,2561,2938,2168,1316,911,1207,1426,1659,2553,991,49168.64,129117.54,161.5,High,Medium,Medium,Above 0%,Poor,97.42,High Profit
2024,Oct,SBI,Jharkhand,Ranchi,27,Onsite,SBIJR158681,Q4,1251,440.17,1691.17,20965.83,4193.17,25158.99,21671,3382.33,3628,1816,2092,1049,1749,1213,1623,1287,2540,3451,1017,46518.33,71677.32,284.9,Low,High,High,Below 0%,Poor,97.49,Loss
2024,Jul,SBI,Jharkhand,Hazaribagh,30,Onsite,SBIJH126361,Q3,1659,1087.45,2746.45,30322.25,6064.45,36386.7,13845,5492.9,6482,2124,2943,809,406,938,1239,1152,2226,4547,1363,43566.9,79953.6,219.73,Medium,Low,High,Below 0%,Poor,93.97,Loss
2023,May,SBI,Jharkhand,Ranchi,30,Brown Label,SBIJR213332,Q2,2688,899.8,3587.8,44818.99,8963.8,53782.79,25081,7175.6,5500,2688,2849,2266,432,1001,1214,1270,1157,4361,814,55808.6,109591.38,203.77,Medium,High,Medium,Below 0%,Poor,91.27,Loss
2024,Aug,SBI,Jharkhand,Dhanbad,28,Offsite,SBIJD307928,Q3,3323,2142.27,5465.27,60556.34,12111.27,72667.61,29678,10930.54,5258,1814,2819,846,560,361,1417,1298,2444,4774,1384,63583.54,136251.14,187.5,High,Medium,High,Above 0%,Poor,95.17,Low Profit
2023,Jul,SBI,Jharkhand,Bokaro,25,Brown Label,SBIJB235796,Q3,2289,1160.54,3449.54,40137.72,8027.54,48165.27,29657,6899.09,5065,2985,1770,726,359,1211,1602,1428,2142,4436,924,59204.09,107369.35,222.92,Medium,High,Low,Below 0%,Poor,99.41,Loss
2023,Jul,SBI,Jharkhand,Hazaribagh,28,Brown Label,SBIJH244859,Q3,3724,1954.09,5678.09,65630.46,13126.09,78756.55,22356,11356.18,4013,2670,2330,2240,1165,605,1722,1156,1060,3006,961,54640.18,133396.74,169.38,High,Low,Low,Above 0%,Poor,91.67,High Profit
2023,Aug,SBI,Jharkhand,Hazaribagh,30,Onsite,SBIJH268869,Q3,1592,499.16,2091.16,26375.82,5275.16,31650.99,27233,4182.33,6301,1897,2085,2842,808,1435,1357,1114,2026,3734,932,55946.33,87597.32,276.76,Medium,Medium,High,Below 0%,Poor,95.28,Loss
2023,Oct,SBI,Jharkhand,Jamshedpur,30,Onsite,SBIJJ010364,Q4,3803,2517.13,6320.13,69630.65,13926.13,83556.78,23344,12640.26,6921,1476,2995,1873,823,496,1596,1412,1283,2402,1097,58358.26,141915.05,169.84,High,High,Medium,Above 0%,Poor,95.52,High Profit
2023,Jan,SBI,Jharkhand,Hazaribagh,25,Onsite,SBIJH213132,Q1,1021,644.18,1665.18,18535.92,3707.18,22243.11,18933,3330.37,6498,1199,2651,659,1998,1184,1639,1001,1504,2819,1013,44428.37,66671.48,299.74,Low,High,Low,Below 0%,Poor,95.65,Loss
2024,Jul,SBI,Jharkhand,Jamshedpur,28,Brown Label,SBIJJ022137,Q3,2283,1280.36,3563.36,40646.79,8129.36,48776.14,20963,7126.71,5013,2499,1266,2615,1899,1226,1843,1314,2580,4043,795,53182.71,101958.86,209.03,Medium,Medium,Medium,Below 0%,Poor,91.44,Loss
2023,Jun,SBI,Jharkhand,Bokaro,29,Onsite,SBIJB172575,Q2,3673,2473.9,6146.9,67464.52,13492.9,80957.42,28953,12293.81,3953,2310,2079,2942,1042,593,1920,1311,2257,4597,1294,65544.81,146502.23,180.96,High,Medium,Low,Above 0%,Poor,94.76,Low Profit
2023,Oct,SBI,Jharkhand,Dhanbad,28,Offsite,SBIJD229727,Q4,1044,638.44,1682.44,18852.21,3770.44,22622.65,20216,3364.88,3997,1284,1050,1228,576,618,1330,1341,2347,4629,853,42833.88,65456.54,289.34,Low,High,High,Below 0%,Poor,95.67,Loss
2024,Aug,SBI,Jharkhand,Jamshedpur,30,Brown Label,SBIJJ111074,Q3,2854,1088.32,3942.32,48251.62,9650.32,57901.94,28351,7884.65,4047,1619,1696,2412,235,228,1974,1061,2566,4835,1055,57963.65,115865.59,200.11,Medium,Low,High,Below 0%,Poor,90.34,Loss
2023,Apr,SBI,Jharkhand,Deoghar,25,Brown Label,SBIJD059774,Q2,4749,2897.47,7646.47,85722.37,17144.47,102866.84,12197,15292.95,6796,2284,2426,636,1718,990,1723,1330,2537,4183,748,52860.95,155727.79,151.39,High,Medium,Medium,Above 0%,Poor,98.34,High Profit
2024,Sep,SBI,Jharkhand,Dhanbad,30,Brown Label,SBIJD034072,Q3,834,531.61,1365.61,15168.07,3033.61,18201.68,20620,2731.23,3102,1271,1445,1044,1520,639,1571,1217,1271,2322,1153,39906.23,58107.91,319.24,Low,Low,Low,Below 0%,Poor,98.59,Loss
2023,Apr,SBI,Jharkhand,Dhanbad,28,Offsite,SBIJD177875,Q2,5354,2282.03,7636.03,91720.14,18344.03,110064.17,15300,15272.06,4994,1319,1721,1643,489,867,1830,1262,2958,4095,730,52480.06,162544.23,147.68,High,Medium,High,Above 0%,Poor,98.91,High Profit
2023,Feb,SBI,Jharkhand,Dhanbad,30,Onsite,SBIJD266247,Q1,3232,2085.07,5317.07,58905.35,11781.07,70686.41,13455,10634.14,6496,2302,2036,1005,478,672,1404,1147,2260,4882,500,47271.14,117957.55,166.87,High,Low,Low,Above 0%,Poor,90.56,High Profit
2023,Mar,SBI,Jharkhand,Ranchi,28,Offsite,SBIJR158974,Q1,2117,841.7,2958.7,35963.5,7192.7,43156.2,14817,5917.4,5174,1423,2381,1270,285,997,1474,1423,1659,3145,1268,41233.4,84389.59,195.54,Medium,High,High,Above 0%,Poor,99.34,Low Profit
